,order,species,adult_body_mass_g,adult_head_body_len_mm,home_range_km2,litter_size,habitat
361,Carnivora,Genetta maculata,1950,NA,NA,2.12,T
362,Carnivora,Genetta pardina,NA,NA,NA,NA,T
363,Carnivora,Genetta piscivora,1648.05,456.13,NA,0.96,T
364,Carnivora,Genetta poensis,NA,NA,NA,NA,T
1326,Carnivora,Genetta servalina,1175.84,486.39,NA,1.5,T
1327,Carnivora,Genetta thierryi,1400,418.64,NA,NA,T
1328,Carnivora,Genetta tigrina,2066.57,543.37,0.04,2.76,T
1329,Carnivora,Genetta victoriae,2743.69,570.78,NA,NA,T
1404,Carnivora,Gulo gulo,12792.49,772.1,343.27,2.84,T
1418,Carnivora,Halichoerus grypus,197570.01,2079.47,NA,0.96,M
1433,Carnivora,Helarctos malayanus,57075.78,1220.79,NA,1.1,T
1588,Carnivora,Helogale hirtula,484.63,229.75,NA,NA,T
1589,Carnivora,Helogale parvula,281.83,201.59,0.21,3.49,T
1595,Carnivora,Hemigalus derbyanus,1262.7,458.63,NA,1.73,T
1599,Carnivora,Herpestes brachyurus,1396.16,414.47,NA,3.49,T
1600,Carnivora,Herpestes edwardsi,1304.67,398.22,NA,2,T
1435,Carnivora,Herpestes fuscus,NA,NA,NA,NA,T
1436,Carnivora,Herpestes ichneumon,2980.02,573.28,2.18,3,T
1437,Carnivora,Herpestes javanicus,750,280.02,0.22,2.21,T
1438,Carnivora,Herpestes naso,3002.08,552.74,0.4,NA,T
1439,Carnivora,Herpestes semitorquatus,NA,NA,NA,NA,T
1440,Carnivora,Herpestes smithii,1702.5,406.27,NA,2.5,T
1441,Carnivora,Herpestes urva,2384.19,506.24,NA,3,T
1717,Carnivora,Herpestes vitticollis,2380,476.76,NA,2.73,T
1685,Carnivora,Histriophoca fasciata,90000,1533.92,NA,1,M
1692,Carnivora,Hyaena brunnea,42977.93,1198.21,67.3,2.3,T
1693,Carnivora,Hyaena hyaena,35070.51,1104.7,45.19,2.44,T
1700,Carnivora,Hydrictis maculicollis,4180.53,594.08,NA,2,T
1710,Carnivora,Hydrurga leptonyx,352675.48,3038.33,NA,0.96,M
1836,Carnivora,Ichneumia albicauda,3628.4,571.69,0.5,2.35,T
1841,Carnivora,Ictonyx libyca,225.18,241.77,NA,2,T
1842,Carnivora,Ictonyx striatus,811.02,334,NA,2.3,T
2080,Carnivora,Leopardus braccatus,NA,NA,NA,NA,T
2081,Carnivora,Leopardus colocolo,NA,NA,NA,NA,T
2082,Carnivora,Leopardus geoffroyi,NA,NA,NA,NA,T
2083,Carnivora,Leopardus guigna,NA,NA,NA,NA,T
2084,Carnivora,Leopardus jacobitus,8133.78,599.13,NA,NA,T
2085,Carnivora,Leopardus pajeros,NA,NA,NA,NA,T
2086,Carnivora,Leopardus pardalis,11880,744.33,5.08,1.66,T
2087,Carnivora,Leopardus tigrinus,NA,NA,NA,NA,T
2088,Carnivora,Leopardus wiedii,3270.81,598.41,8.54,1.5,T
2105,Carnivora,Leptailurus serval,11999.96,832.51,1.84,2.35,T
2109,Carnivora,Leptonychotes weddellii,4.00E+05,2539.91,NA,1,M
2147,Carnivora,Liberiictis kuhni,1825.47,449.15,NA,NA,T
2163,Carnivora,Lobodon carcinophaga,224999.99,2265.73,NA,0.96,M
2177,Carnivora,Lontra canadensis,8087.42,683.1,14.18,2.67,T
2178,Carnivora,Lontra felina,11195.36,676.55,NA,2.54,M
2179,Carnivora,Lontra longicaudis,6554.97,600.05,NA,3.69,T
2180,Carnivora,Lontra provocax,7499.98,588.17,NA,NA,T
2219,Carnivora,Lutra lutra,8868.69,687.94,21.31,2.01,T
2220,Carnivora,Lutra nippon,NA,NA,NA,NA,T
2221,Carnivora,Lutra sumatrana,5970.68,762.81,NA,NA,T
2223,Carnivora,Lutrogale perspicillata,8912.49,787.64,5.31,3.24,T
2224,Carnivora,Lycalopex culpaeus,8616.24,720.34,5.05,4.88,T
2225,Carnivora,Lycalopex fulvipes,NA,NA,NA,NA,T
2226,Carnivora,Lycalopex griseus,NA,NA,NA,NA,T
2227,Carnivora,Lycalopex gymnocercus,4542.67,619.15,NA,3.09,T
2228,Carnivora,Lycalopex sechurae,4234,558.91,NA,NA,T
2229,Carnivora,Lycalopex vetulus,4233.47,600.05,NA,3,T
2230,Carnivora,Lycaon pictus,21999.99,923.86,395.88,8.1,T
2231,Carnivora,Lyncodon patagonicus,225,323.41,NA,NA,T
2232,Carnivora,Lynx canadensis,9682.82,702.3,30.6,2.73,T
2233,Carnivora,Lynx lynx,19300,851.2,136.35,2.3,T
2234,Carnivora,Lynx pardinus,11050,960.08,7.19,2.5,T
2235,Carnivora,Lynx rufus,6374.47,689.81,31.2,2.76,T
2258,Carnivora,Macrogalidia musschenbroekii,5148.86,687.94,NA,NA,T
2338,Carnivora,Martes americana,873.69,381.36,3.66,2.6,T
2339,Carnivora,Martes flavigula,2504.64,548.36,NA,3.53,T
2340,Carnivora,Martes foina,1675,458.63,2.15,3.78,T
2341,Carnivora,Martes gwatkinsii,2038.49,511.33,NA,NA,T
2342,Carnivora,Martes martes,1299.99,457.01,2.15,3.49,T
2343,Carnivora,Martes melampus,1000,440.51,NA,NA,T
2344,Carnivora,Martes pennanti,3750,749.51,14.89,3.02,T
2345,Carnivora,Martes zibellina,1173.91,449.9,12.71,3.13,T
1958,Carnivora,Meles anakuma,NA,NA,NA,NA,T
1959,Carnivora,Meles leucurus,NA,NA,NA,NA,T
1960,Carnivora,Meles meles,11884.03,705.89,1.2,3.11,T
1961,Carnivora,Mellivora capensis,8999.99,682.96,NA,2.35,T
2389,Carnivora,Melogale everetti,NA,NA,NA,2,T
2390,Carnivora,Melogale moschata,938.5,383.82,NA,2,T
2391,Carnivora,Melogale orientalis,NA,NA,NA,NA,T
2392,Carnivora,Melogale personata,1845.26,398.22,NA,2.5,T
2419,Carnivora,Melursus ursinus,99999.99,1595.23,7.69,1.54,T
2421,Carnivora,Mephitis macroura,1097.76,307.05,NA,4.68,T
2422,Carnivora,Mephitis mephitis,2399.99,399.55,2.32,5.7,T
1963,Carnivora,Mirounga angustirostris,1112390.81,3713.91,NA,1,M
1964,Carnivora,Mirounga leonina,1600000,3674.03,NA,1,M
1934,Carnivora,Monachus monachus,294881.33,2589.02,NA,1,M
1935,Carnivora,Monachus schauinslandi,222999.99,2232.83,NA,1,M
1936,Carnivora,Monachus tropicalis,197758.36,2288.69,NA,1,M
2027,Carnivora,Mungos gambianus,1644.98,349.68,NA,NA,T
2028,Carnivora,Mungos mungo,1260,362.42,1.66,2.68,T
2029,Carnivora,Mungotictis decemlineata,657.03,311.18,1.19,0.99,T
2704,Carnivora,Mustela africana,536.98,309.07,NA,NA,T
2705,Carnivora,Mustela altaica,180.24,243.52,NA,5.44,T
2706,Carnivora,Mustela erminea,284.5,215.65,0.11,6.74,T
2707,Carnivora,Mustela eversmanii,1684.21,432.95,NA,7.82,T
2708,Carnivora,Mustela felipei,211.3,214.8,NA,NA,T
2709,Carnivora,Mustela frenata,190.03,229.31,0.21,6.5,T
2710,Carnivora,Mustela itatsi,NA,NA,NA,NA,T
2711,Carnivora,Mustela kathiah,263.74,259.13,NA,NA,T
2712,Carnivora,Mustela lutreola,566.44,360.77,0.17,4.5,T
2713,Carnivora,Mustela lutreolina,466.25,308.08,NA,NA,T
2714,Carnivora,Mustela nigripes,907.1,395.94,0.83,3.36,T
2715,Carnivora,Mustela nivalis,78.45,188.18,0.07,5.07,T
2716,Carnivora,Mustela nudipes,569.42,325.9,NA,4,T
2717,Carnivora,Mustela putorius,975.55,358.92,0.53,8.48,T
2718,Carnivora,Mustela sibirica,530.85,305.96,3.41,6.48,T
2719,Carnivora,Mustela strigidorsa,1500,286.46,NA,NA,T
2720,Carnivora,Mustela subpalmata,NA,NA,NA,NA,T
2721,Carnivora,Mydaus javanensis,2500,441.18,NA,NA,T
2722,Carnivora,Mydaus marchei,2500,389.59,NA,NA,T
2646,Carnivora,Nandinia binotata,2167.2,498.51,0.55,1.84,T
2864,Carnivora,Nasua narica,4578.43,549.58,0.78,4,T
2865,Carnivora,Nasua nasua,3775.5,527.63,0.79,3.69,T
2866,Carnivora,Nasuella olivacea,1339.99,387.34,NA,NA,T
2894,Carnivora,Neofelis nebulosa,14945.05,836.74,NA,2.25,T
2902,Carnivora,Neophoca cinerea,189274.99,1798.13,NA,1.35,M
3047,Carnivora,Neovison macrodon,NA,NA,NA,NA,M
3048,Carnivora,Neovison vison,NA,NA,NA,NA,M
3133,Carnivora,Nyctereutes procyonoides,4214.99,447.38,1.15,6.36,T
3198,Carnivora,Odobenus rosmarus,1042996.25,2870.18,NA,1.22,M
3003,Carnivora,Ommatophoca rossii,208252.12,2061.84,NA,0.96,M
3248,Carnivora,Otaria flavescens,193670.53,2112.38,NA,1,M
3249,Carnivora,Otocyon megalotis,4098.12,537.63,1.13,4,T
3308,Carnivora,Pagophilus groenlandicus,132250,1721.36,NA,1,M
3309,Carnivora,Paguma larvata,4300,633.11,2.88,2.16,T
3313,Carnivora,Panthera leo,158623.93,1835.16,55.19,2.75,T
3314,Carnivora,Panthera onca,83943.09,1331.62,52.55,1.96,T
3315,Carnivora,Panthera pardus,52399.99,1377.71,18.78,2.14,T
3316,Carnivora,Panthera tigris,161914.66,1824.79,64.89,2.6,T
3347,Carnivora,Paracynictis selousi,1669.72,427.91,NA,2,T
3349,Carnivora,Paradoxurus hermaphroditus,3200,532.26,4.15,3.29,T
3350,Carnivora,Paradoxurus jerdoni,3530.33,589.08,NA,3,T
3351,Carnivora,Paradoxurus zeylonensis,2821.3,487.39,NA,2.5,T
3386,Carnivora,Pardofelis marmorata,2826.68,516.47,NA,2,T
3577,Carnivora,Phoca largha,98879.18,1634.87,NA,1,M
3578,Carnivora,Phoca vitulina,87316.66,1611.75,NA,1,M
3579,Carnivora,Phocarctos hookeri,273499.99,2018.97,NA,1,M
3800,Carnivora,Poecilogale albinucha,308.16,304.09,NA,2.23,T
3809,Carnivora,Poiana leightoni,NA,NA,NA,NA,T
3810,Carnivora,Poiana richardsonii,570.08,378.86,NA,2.23,T
3821,Carnivora,Potos flavus,2441.81,509.54,0.22,1.11,T
3850,Carnivora,Prionailurus bengalensis,2780.97,683.23,1.87,2.5,T
3851,Carnivora,Prionailurus iriomotensis,NA,NA,NA,NA,T
3852,Carnivora,Prionailurus planiceps,3533.76,467.4,NA,NA,T
3853,Carnivora,Prionailurus rubiginosus,1418.75,405.99,NA,2.23,T
3854,Carnivora,Prionailurus viverrinus,8826.46,777.67,NA,2,T
3855,Carnivora,Prionodon linsang,684.83,399.17,NA,2.3,T
3856,Carnivora,Prionodon pardicolor,1142.68,353.19,NA,2,T
3863,Carnivora,Procyon cancrivorus,6931.72,602.86,NA,2.62,T
3864,Carnivora,Procyon lotor,6373.72,484.68,4.62,3.06,T
3596,Carnivora,Procyon pygmaeus,2958.03,427.1,NA,NA,T
3623,Carnivora,Profelis aurata,11277.17,797.61,NA,2.25,T
3865,Carnivora,Proteles cristata,8139.39,697.91,1.51,2.64,T
3442,Carnivora,Pteronura brasiliensis,26000,1137.99,85.85,2.12,T
3969,Carnivora,Puma concolor,53954.05,1396.33,129.89,2.76,T
3970,Carnivora,Puma yagouaroundi,6875,701.35,52.35,2.5,T
3973,Carnivora,Pusa caspica,62326.2,1405.5,NA,1,M
3974,Carnivora,Pusa hispida,70963.6,1287.15,NA,1,M
3983,Carnivora,Pusa sibirica,89499.99,1272.95,NA,1,M
3680,Carnivora,Rhynchogale melleri,2240.33,459.59,NA,2,T
4310,Carnivora,Salanoia concolor,711.49,296.21,NA,NA,T
4269,Carnivora,Speothos venaticus,6324.54,624.73,NA,3.8,T
4583,Carnivora,Spilogale angustifrons,NA,NA,NA,NA,T
4584,Carnivora,Spilogale gracilis,NA,NA,NA,NA,T
4585,Carnivora,Spilogale putorius,566.49,299.49,0.29,5.07,T
4586,Carnivora,Spilogale pygmaea,365,NA,NA,4,T
4730,Carnivora,Suricata suricatta,729.99,285.71,11.76,3.86,T
5151,Carnivora,Taxidea taxus,7842.15,558.35,3.44,2.76,T
4660,Carnivora,Tremarctos ornatus,123176.97,1766.58,NA,1.44,T
5310,Carnivora,Uncia uncia,32500,1146.57,22.72,2.12,T
5312,Carnivora,Urocyon cinereoargenteus,3833.71,601.7,1.83,3.71,T
5313,Carnivora,Urocyon littoralis,1923,471.23,0.42,2.17,T
5332,Carnivora,Ursus americanus,110500,1380.87,31.25,2.39,T
5333,Carnivora,Ursus arctos,196287.5,1484.07,310.81,2.24,T
5334,Carnivora,Ursus maritimus,371703.81,1992.55,77270.47,1.66,M
5335,Carnivora,Ursus thibetanus,99714.19,1505.7,0.7,1.5,T
5362,Carnivora,Viverra civettina,12061.27,843.04,NA,NA,T
5363,Carnivora,Viverra megaspila,NA,NA,NA,NA,T
5364,Carnivora,Viverra tangalunga,7349.99,655.78,NA,1.92,T
5365,Carnivora,Viverra zibetha,9148.77,816.76,9.36,2.89,T
5366,Carnivora,Viverricula indica,2918.88,539.19,NA,3.74,T
5371,Carnivora,Vormela peregusna,594.13,319.52,NA,5.07,T
5372,Carnivora,Vulpes bengalensis,2514.4,521.66,NA,3.49,T
5373,Carnivora,Vulpes cana,988.5,425.92,1.17,2,T
5374,Carnivora,Vulpes chama,2919.8,532.2,NA,2.5,T
5375,Carnivora,Vulpes corsac,2615.33,578.27,NA,5.62,T
5376,Carnivora,Vulpes ferrilata,5543.74,600.05,NA,3.49,T
5377,Carnivora,Vulpes lagopus,3584.37,564.81,14.1,7.65,T
5378,Carnivora,Vulpes macrotis,4499.97,NA,8.1,4.5,T
5379,Carnivora,Vulpes pallida,2800.01,429.21,NA,4,T
5380,Carnivora,Vulpes rueppellii,3249.97,458.63,29.93,2.12,T
5381,Carnivora,Vulpes velox,2088,503.79,4.59,4.25,T
5382,Carnivora,Vulpes vulpes,4820.36,627.12,3.5,4.59,T
5383,Carnivora,Vulpes zerda,1317.13,374.23,NA,2.36,T
5399,Carnivora,Zalophus californianus,137194.86,2018.97,NA,1.41,M
5400,Carnivora,Zalophus japonicus,NA,NA,NA,NA,M
5401,Carnivora,Zalophus wollebaeki,NA,NA,NA,NA,M
392,Cetacea,Balaena mysticetus,79691178.99,12187.12,NA,1,M
393,Cetacea,Balaenoptera acutorostrata,5587093.59,5529.31,NA,1,M
394,Cetacea,Balaenoptera bonaerensis,NA,NA,NA,NA,M
395,Cetacea,Balaenoptera borealis,22106251.95,18382.16,NA,1.02,M
396,Cetacea,Balaenoptera edeni,19999999.97,13846.17,NA,0.97,M
137,Cetacea,Balaenoptera musculus,154321304.5,30480,NA,1,M
138,Cetacea,Balaenoptera physalus,47506008.23,20641.06,NA,1.01,M
626,Cetacea,Berardius arnuxii,7000000.02,NA,NA,NA,M
627,Cetacea,Berardius bairdii,11380000.04,NA,NA,0.98,M
33,Cetacea,Caperea marginata,31999999.98,NA,NA,0.98,M
153,Cetacea,Cephalorhynchus commersonii,72400,NA,NA,0.98,M
154,Cetacea,Cephalorhynchus eutropia,45000,NA,NA,0.97,M
155,Cetacea,Cephalorhynchus heavisidii,39999.99,NA,NA,0.97,M
156,Cetacea,Cephalorhynchus hectori,49999.99,NA,NA,1,M
368,Cetacea,Delphinapterus leucas,1381640.73,4249.83,NA,1.02,M
369,Cetacea,Delphinus capensis,NA,NA,NA,NA,M
370,Cetacea,Delphinus delphis,79271.69,2439.99,NA,0.98,M
1373,Cetacea,Eschrichtius robustus,27324024.19,11831.89,NA,1,M
1374,Cetacea,Eubalaena australis,22999999.91,14150,NA,NA,M
1375,Cetacea,Eubalaena glacialis,22999999.91,13907.08,NA,1,M
1376,Cetacea,Eubalaena japonica,NA,NA,NA,NA,M
1444,Cetacea,Feresa attenuata,170000,NA,NA,1,M
1516,Cetacea,Globicephala macrorhynchus,725999.99,6099.99,NA,0.97,M
1517,Cetacea,Globicephala melas,8.00E+05,5685.75,NA,1,M
1544,Cetacea,Grampus griseus,387500,NA,NA,0.97,M
1804,Cetacea,Hyperoodon ampullatus,3393361.08,8778.42,NA,1,M
1805,Cetacea,Hyperoodon planifrons,3000000.01,6699.99,NA,NA,M
1846,Cetacea,Indopacetus pacificus,2200000,NA,NA,NA,M
1848,Cetacea,Inia geoffrensis,121430.76,2113.09,NA,1,M
1883,Cetacea,Kogia breviceps,431500,NA,NA,0.97,M
1884,Cetacea,Kogia sima,183066.66,2158.04,NA,1,M
1892,Cetacea,Lagenodelphis hosei,164000,NA,NA,1,M
1893,Cetacea,Lagenorhynchus acutus,186517.55,2285.99,NA,1.22,M
1894,Cetacea,Lagenorhynchus albirostris,186634.86,3048.99,NA,1,M
1895,Cetacea,Lagenorhynchus australis,119999.99,NA,NA,NA,M
1896,Cetacea,Lagenorhynchus cruciger,109999.99,NA,NA,NA,M
1897,Cetacea,Lagenorhynchus obliquidens,109694.46,2206.62,NA,1,M
1898,Cetacea,Lagenorhynchus obscurus,127499.99,NA,NA,NA,M
2158,Cetacea,Lipotes vexillifer,112138.32,1701.72,NA,1,M
2159,Cetacea,Lissodelphis borealis,113000,NA,NA,NA,M
2160,Cetacea,Lissodelphis peronii,116000,NA,NA,NA,M
1952,Cetacea,Megaptera novaeangliae,30000000.01,12856.21,NA,1,M
2277,Cetacea,Mesoplodon bidens,3400000,5030,NA,1,M
2278,Cetacea,Mesoplodon bowdoini,2599999.99,4260.39,NA,NA,M
2279,Cetacea,Mesoplodon carlhubbsi,3400000,5396.8,NA,0.97,M
2280,Cetacea,Mesoplodon densirostris,2299999.99,4589.82,NA,NA,M
2281,Cetacea,Mesoplodon europaeus,5600000.02,6710,NA,NA,M
2282,Cetacea,Mesoplodon ginkgodens,1500000,4880,NA,NA,M
2283,Cetacea,Mesoplodon grayi,2899999.98,NA,NA,NA,M
2284,Cetacea,Mesoplodon hectori,1.00E+06,NA,NA,NA,M
2524,Cetacea,Mesoplodon layardii,1500000,NA,NA,NA,M
2525,Cetacea,Mesoplodon mirus,2099999.99,5179.99,NA,0.97,M
2526,Cetacea,Mesoplodon perrini,NA,NA,NA,NA,M
2527,Cetacea,Mesoplodon peruvianus,NA,3719.99,NA,NA,M
2528,Cetacea,Mesoplodon stejnegeri,4800000.02,6090,NA,NA,M
2529,Cetacea,Mesoplodon traversii,NA,NA,NA,NA,M
1986,Cetacea,Monodon monoceros,938126.44,5092.53,NA,1,M
2903,Cetacea,Neophocaena phocaenoides,32500,NA,NA,0.97,M
3207,Cetacea,Orcaella brevirostris,189999.99,2500,NA,1,M
3208,Cetacea,Orcinus orca,5628758.66,8652.64,79244.72,1,M
3397,Cetacea,Peponocephala electra,206000,NA,NA,NA,M
3317,Cetacea,Phocoena dioptrica,65000,NA,NA,0.97,M
3318,Cetacea,Phocoena phocoena,52730.93,1530.07,NA,0.98,M
3319,Cetacea,Phocoena sinus,43121.43,1520,NA,0.97,M
3320,Cetacea,Phocoena spinipinnis,59999.99,NA,NA,0.97,M
3321,Cetacea,Phocoenoides dalli,106042.53,1966.64,NA,0.98,M
3707,Cetacea,Physeter catodon,14540959.82,12175.38,NA,0.99,M
3774,Cetacea,Platanista gangetica,93481.96,NA,NA,0.97,M
3775,Cetacea,Platanista minor,75990.24,NA,NA,1,M
3813,Cetacea,Pontoporia blainvillei,40499.99,NA,NA,1,M
3712,Cetacea,Pseudorca crassidens,1360000,NA,NA,0.97,M
4514,Cetacea,Sotalia fluviatilis,42833.44,NA,NA,0.97,M
4515,Cetacea,Sousa chinensis,279999.99,NA,NA,1,M
4516,Cetacea,Sousa teuszii,99999.99,NA,NA,NA,M
4596,Cetacea,Stenella attenuata,65733.59,2135,NA,0.99,M
4597,Cetacea,Stenella clymene,NA,NA,NA,NA,M
4598,Cetacea,Stenella coeruleoalba,142102.96,2300.84,NA,1.75,M
4599,Cetacea,Stenella frontalis,109999.99,2130,NA,NA,M
4600,Cetacea,Stenella longirostris,50500,2130,NA,0.97,M
4601,Cetacea,Steno bredanensis,130000,2439.99,NA,NA,M
5136,Cetacea,Tasmacetus shepherdi,2500000,NA,NA,NA,M
5297,Cetacea,Tursiops aduncus,NA,2366,NA,NA,M
5298,Cetacea,Tursiops truncatus,281040.55,3257.91,52.77,0.98,M
5408,Cetacea,Ziphius cavirostris,4774999.99,NA,NA,1,M
4888,Chiroptera,Acerodon celebensis,384.84,201.25,NA,0.98,T
4889,Chiroptera,Acerodon humilis,NA,NA,NA,NA,T
4890,Chiroptera,Acerodon jubatus,1087.04,NA,NA,1,T
4891,Chiroptera,Acerodon leucotis,NA,NA,NA,NA,T
4892,Chiroptera,Acerodon mackloti,467.93,NA,NA,0.98,T
4529,Chiroptera,Aethalops aequalis,NA,NA,NA,NA,T
4530,Chiroptera,Aethalops alecto,15,NA,NA,0.99,T
4940,Chiroptera,Alionycteris paucidentata,16.24,63.8,NA,NA,T
4986,Chiroptera,Ametrida centurio,10.61,NA,NA,0.98,T
4995,Chiroptera,Amorphochilus schnablii,NA,NA,NA,0.99,T
5009,Chiroptera,Anoura caudifer,10.81,58.32,NA,0.99,T
5010,Chiroptera,Anoura cultrata,17.39,NA,NA,1.22,T
5011,Chiroptera,Anoura geoffroyi,15.15,NA,NA,0.99,T
5012,Chiroptera,Anoura latidens,15.06,NA,NA,NA,T
5013,Chiroptera,Anoura luismanueli,NA,NA,NA,NA,T
5029,Chiroptera,Anthops ornatus,NA,NA,NA,NA,T
5033,Chiroptera,Antrozous pallidus,22.24,NA,NA,1.78,T
5074,Chiroptera,Aproteles bulmerae,623.91,245.47,NA,1,T
5093,Chiroptera,Ardops nichollsi,19.23,NA,NA,0.99,T
5094,Chiroptera,Arielulus aureocollaris,NA,NA,NA,NA,T
5095,Chiroptera,Arielulus circumdatus,10.4,NA,NA,NA,T
5096,Chiroptera,Arielulus cuprosus,NA,NA,NA,NA,T
5097,Chiroptera,Arielulus societatis,NA,NA,NA,NA,T
5098,Chiroptera,Arielulus torquatus,NA,NA,NA,NA,T
5099,Chiroptera,Ariteus flavescens,NA,NA,NA,NA,T
5100,Chiroptera,Artibeus amplus,61.04,NA,NA,NA,T
5101,Chiroptera,Artibeus anderseni,NA,NA,NA,0.98,T
5102,Chiroptera,Artibeus aztecus,20.81,NA,NA,0.99,T
5103,Chiroptera,Artibeus cinereus,12.7,NA,NA,0.99,T
5104,Chiroptera,Artibeus concolor,19.65,NA,NA,NA,T
5105,Chiroptera,Artibeus fimbriatus,63.89,NA,NA,NA,T
5106,Chiroptera,Artibeus fraterculus,NA,NA,NA,0.98,T
5107,Chiroptera,Artibeus glaucus,12.31,NA,NA,NA,T
5108,Chiroptera,Artibeus gnomus,10.06,NA,NA,NA,T
5109,Chiroptera,Artibeus hirsutus,40.42,NA,NA,0.98,T
5110,Chiroptera,Artibeus incomitatus,NA,NA,NA,NA,T
5111,Chiroptera,Artibeus inopinatus,NA,NA,NA,NA,T
5112,Chiroptera,Artibeus jamaicensis,43.63,78.3,NA,1,T
5113,Chiroptera,Artibeus lituratus,59.3,95.35,NA,1,T
5114,Chiroptera,Artibeus obscurus,35.91,NA,NA,0.98,T
5115,Chiroptera,Artibeus phaeotis,11.69,55.5,NA,0.99,T
5116,Chiroptera,Artibeus toltecus,15.47,NA,NA,0.99,T
5117,Chiroptera,Artibeus watsoni,11.2,NA,NA,1,T
5128,Chiroptera,Asellia patrizii,NA,NA,NA,NA,T
5129,Chiroptera,Asellia tridens,12.94,56,NA,NA,T
5130,Chiroptera,Aselliscus stoliczkanus,6.09,NA,NA,NA,T
5131,Chiroptera,Aselliscus tricuspidatus,4.08,NA,NA,0.99,T
139,Chiroptera,Balantiopteryx infusca,NA,NA,NA,NA,T
140,Chiroptera,Balantiopteryx io,3.97,40.2,NA,1,T
141,Chiroptera,Balantiopteryx plicata,6.57,NA,NA,0.99,T
142,Chiroptera,Balionycteris maculata,14.43,NA,NA,1,T
603,Chiroptera,Barbastella barbastellus,8.31,NA,NA,1.73,T
604,Chiroptera,Barbastella leucomelas,15.05,NA,NA,NA,T
618,Chiroptera,Bauerus dubiaquercus,22.22,NA,NA,1.71,T
405,Chiroptera,Brachyphylla cavernarum,45.5,81.26,NA,1,T
406,Chiroptera,Brachyphylla nana,37.25,84.19,NA,0.98,T
757,Chiroptera,Cardioderma cor,26.45,NA,NA,1,T
758,Chiroptera,Carollia brevicauda,14.85,NA,NA,0.98,T
759,Chiroptera,Carollia castanea,13.1,NA,NA,0.99,T
760,Chiroptera,Carollia colombiana,NA,NA,NA,NA,T
761,Chiroptera,Carollia perspicillata,19.23,59.99,NA,1,T
762,Chiroptera,Carollia sowelli,NA,NA,NA,NA,T
763,Chiroptera,Carollia subrufa,15.84,NA,NA,0.98,T
770,Chiroptera,Casinycteris argynnis,28.28,NA,NA,0.98,T
790,Chiroptera,Centronycteris centralis,NA,NA,NA,NA,T
791,Chiroptera,Centronycteris maximiliani,23,NA,NA,0.98,T
792,Chiroptera,Centurio senex,23.09,NA,NA,0.99,T
196,Chiroptera,Chaerephon aloysiisabaudiae,NA,NA,NA,NA,T
197,Chiroptera,Chaerephon ansorgei,NA,NA,NA,NA,T
198,Chiroptera,Chaerephon bemmeleni,NA,NA,NA,NA,T
199,Chiroptera,Chaerephon bivittatus,15.42,NA,NA,NA,T
200,Chiroptera,Chaerephon bregullae,NA,NA,NA,NA,T
201,Chiroptera,Chaerephon chapini,NA,NA,NA,NA,T
202,Chiroptera,Chaerephon gallagheri,NA,NA,NA,NA,T
203,Chiroptera,Chaerephon jobensis,20.71,NA,NA,NA,T
204,Chiroptera,Chaerephon johorensis,NA,NA,NA,NA,T
205,Chiroptera,Chaerephon leucogaster,NA,NA,NA,NA,T
206,Chiroptera,Chaerephon major,15.17,NA,NA,1,T
207,Chiroptera,Chaerephon nigeriae,20.14,NA,NA,NA,T
208,Chiroptera,Chaerephon plicatus,21.83,NA,NA,0.99,T
209,Chiroptera,Chaerephon pumilus,10.98,NA,NA,1,T
210,Chiroptera,Chaerephon russatus,16.98,NA,NA,0.99,T
211,Chiroptera,Chaerephon shortridgei,NA,NA,NA,NA,T
212,Chiroptera,Chaerephon solomonis,NA,NA,NA,NA,T
213,Chiroptera,Chaerephon tomensis,7.48,NA,NA,NA,T
424,Chiroptera,Chalinolobus dwyeri,8.74,NA,NA,1.34,T
425,Chiroptera,Chalinolobus gouldii,14.24,NA,NA,1.41,T
426,Chiroptera,Chalinolobus morio,8.91,NA,NA,1.38,T
427,Chiroptera,Chalinolobus neocaledonicus,NA,NA,NA,NA,T
848,Chiroptera,Chalinolobus nigrogriseus,8.79,NA,NA,NA,T
849,Chiroptera,Chalinolobus picatus,NA,NA,NA,2,T
850,Chiroptera,Chalinolobus tuberculatus,NA,NA,NA,0.98,T
667,Chiroptera,Cheiromeles parvidens,NA,NA,NA,NA,T
668,Chiroptera,Cheiromeles torquatus,169.43,NA,NA,NA,T
675,Chiroptera,Chilonatalus micropus,NA,NA,NA,NA,T
676,Chiroptera,Chilonatalus tumidifrons,3.62,NA,NA,NA,T
689,Chiroptera,Chiroderma doriae,19.9,NA,NA,1,T
690,Chiroptera,Chiroderma improvisum,35.39,NA,NA,NA,T
691,Chiroptera,Chiroderma salvini,26.3,NA,NA,0.99,T
692,Chiroptera,Chiroderma trinitatum,13.91,NA,NA,0.98,T
693,Chiroptera,Chiroderma villosum,23.81,63.99,NA,0.99,T
695,Chiroptera,Chironax melanocephalus,17.7,NA,NA,0.98,T
867,Chiroptera,Choeroniscus godmani,7.9,NA,NA,0.98,T
868,Chiroptera,Choeroniscus minor,8.63,NA,NA,0.98,T
869,Chiroptera,Choeroniscus periosus,NA,NA,NA,NA,T
870,Chiroptera,Choeronycteris mexicana,17.26,66,NA,0.99,T
878,Chiroptera,Chrotopterus auritus,78.26,103,NA,0.99,T
